species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dS,dN,dE
316,45520,1,1.0,55,6,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
316,45520,2,1.0,54,6,156,22503.36972222222,-1.0,0.6900000000000002,5.0,-6.0,46284.53369444444
316,45521,1,1.0,55,6,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
316,45560,1,9.0,55,6,159,45818.241388888884,0.0,7.0,-1.0,-3.0,-23314.871666666662
316,45560,2,16.0,54,6,156,22503.36972222222,-1.0,9.0,5.0,-6.0,46284.53369444444
316,45560,3,25.0,59,5,150,68787.90341666667,-2.0,1.009999999999998,-3.0,-9.0,-57609.4861
316,45560,4,26.009999999999998,56,3,141,11178.417316666668,1.0,-1.009999999999998,-2.0,-7.0,13914.625304875282
316,45560,5,25.0,54,4,134,25093.04262154195,0.0,5.25,-3.0,-18.0,1911.2550532879832
316,45560,6,30.25,51,4,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
316,45560,7,30.25,49,4,110,28048.453125000004,1.0,-1.0899999999999963,5.0,8.0,4033.6315326530603
316,45563,1,1.0,55,6,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
316,45563,2,1.0,54,6,156,22503.36972222222,-1.0,6.290000000000001,5.0,-6.0,46284.53369444444
316,45563,3,7.290000000000001,59,5,150,68787.90341666667,-2.0,1.1199999999999992,-3.0,-9.0,-57609.4861
316,45563,4,8.41,56,3,141,11178.417316666668,1.0,1.200000000000001,-2.0,-7.0,13914.625304875282
316,45563,5,9.610000000000001,54,4,134,25093.04262154195,0.0,0.6300000000000008,-3.0,-18.0,1911.2550532879832
316,45563,6,10.240000000000002,51,4,116,27004.297674829933,0.0,1.3199999999999967,-2.0,-6.0,1044.1554501700703
316,45563,7,11.559999999999999,49,4,110,28048.453125000004,1.0,0.6900000000000013,5.0,8.0,4033.6315326530603
316,45629,1,1.0,55,6,159,45818.241388888884,0.0,1.25,-1.0,-3.0,-23314.871666666662
316,45629,2,2.25,54,6,156,22503.36972222222,-1.0,5.589999999999999,5.0,-6.0,46284.53369444444
316,45629,3,7.839999999999999,59,5,150,68787.90341666667,-2.0,1.160000000000001,-3.0,-9.0,-57609.4861
316,45629,4,9.0,56,3,141,11178.417316666668,1.0,1.240000000000002,-2.0,-7.0,13914.625304875282
316,45629,5,10.240000000000002,54,4,134,25093.04262154195,0.0,1.3199999999999967,-3.0,-18.0,1911.2550532879832
316,45629,6,11.559999999999999,51,4,116,27004.297674829933,0.0,4.440000000000001,-2.0,-6.0,1044.1554501700703
316,45629,7,16.0,49,4,110,28048.453125000004,1.0,2.4899999999999984,5.0,8.0,4033.6315326530603
316,261796,2,1.0,54,6,156,22503.36972222222,-1.0,2.61,5.0,-6.0,46284.53369444444
316,363592,6,1.44,51,4,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
316,363592,7,1.44,49,4,110,28048.453125000004,1.0,1.4499999999999997,5.0,8.0,4033.6315326530603
1057,45522,1,4.0,55,2,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1057,45522,2,4.0,54,2,156,22503.36972222222,0.0,1.2899999999999991,5.0,-6.0,46284.53369444444
1057,45522,3,5.289999999999999,59,2,150,68787.90341666667,0.0,4.320000000000002,-3.0,-9.0,-57609.4861
1057,45522,4,9.610000000000001,56,2,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
1057,45640,1,1.0,55,2,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1057,45640,2,1.0,54,2,156,22503.36972222222,0.0,6.290000000000001,5.0,-6.0,46284.53369444444
1057,45640,3,7.290000000000001,59,2,150,68787.90341666667,0.0,2.950000000000001,-3.0,-9.0,-57609.4861
1057,45640,4,10.240000000000002,56,2,141,11178.417316666668,0.0,5.759999999999998,-2.0,-7.0,13914.625304875282
1057,45640,5,16.0,54,2,134,25093.04262154195,-1.0,5.159999999999997,-3.0,-18.0,1911.2550532879832
1057,45640,6,21.159999999999997,51,1,116,27004.297674829933,0.0,2.8500000000000085,-2.0,-6.0,1044.1554501700703
1057,45640,7,24.010000000000005,49,1,110,28048.453125000004,0.0,4.079999999999995,5.0,8.0,4033.6315326530603
1094,45644,1,1.0,55,1,159,45818.241388888884,0.0,1.25,-1.0,-3.0,-23314.871666666662
1094,45644,2,2.25,54,1,156,22503.36972222222,0.0,1.75,5.0,-6.0,46284.53369444444
1094,45644,3,4.0,59,1,150,68787.90341666667,0.0,0.20249999999999968,-3.0,-9.0,-57609.4861
1094,45644,4,4.2025,56,1,141,11178.417316666668,0.0,3.0875000000000012,-2.0,-7.0,13914.625304875282
1094,45644,5,7.290000000000001,54,1,134,25093.04262154195,0.0,2.950000000000001,-3.0,-18.0,1911.2550532879832
1094,45644,6,10.240000000000002,51,1,116,27004.297674829933,1.0,0.0,-2.0,-6.0,1044.1554501700703
1094,45644,7,10.240000000000002,49,2,110,28048.453125000004,0.0,5.759999999999998,5.0,8.0,4033.6315326530603
1094,476187,7,1.0,49,2,110,28048.453125000004,0.0,3.8400000000000007,5.0,8.0,4033.6315326530603
81,45578,1,7.5625,55,1,159,45818.241388888884,0.0,12.6875,-1.0,-3.0,-23314.871666666662
990,45571,1,30.25,55,2,159,45818.241388888884,0.0,10.710000000000008,-1.0,-3.0,-23314.871666666662
990,45571,2,40.96000000000001,54,2,156,22503.36972222222,0.0,-37.720000000000006,5.0,-6.0,46284.53369444444
990,45571,3,3.24,59,2,150,68787.90341666667,0.0,3.5200000000000005,-3.0,-9.0,-57609.4861
990,45589,1,256.0,55,2,159,45818.241388888884,0.0,112.63999999999999,-1.0,-3.0,-23314.871666666662
990,45589,2,368.64,54,2,156,22503.36972222222,0.0,241.44999999999993,5.0,-6.0,46284.53369444444
990,45589,3,610.0899999999999,59,2,150,68787.90341666667,0.0,168.32000000000005,-3.0,-9.0,-57609.4861
990,45589,4,778.41,56,2,141,11178.417316666668,-1.0,284.35,-2.0,-7.0,13914.625304875282
990,45589,5,1062.76,54,1,134,25093.04262154195,0.0,134.4000000000001,-3.0,-18.0,1911.2550532879832
990,45589,6,1197.16,51,1,116,27004.297674829933,0.0,27.839999999999918,-2.0,-6.0,1044.1554501700703
990,45589,7,1225.0,49,1,110,28048.453125000004,0.0,280.4399999999998,5.0,8.0,4033.6315326530603
83,45558,1,210.25,55,1,159,45818.241388888884,0.0,2.9099999999999966,-1.0,-3.0,-23314.871666666662
83,45558,2,213.16,54,1,156,22503.36972222222,0.0,2.9299999999999784,5.0,-6.0,46284.53369444444
83,45558,3,216.08999999999997,59,1,150,68787.90341666667,0.0,8.910000000000025,-3.0,-9.0,-57609.4861
83,45558,4,225.0,56,1,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
83,45558,5,225.0,54,1,134,25093.04262154195,0.0,18.359999999999985,-3.0,-18.0,1911.2550532879832
83,45558,6,243.35999999999999,51,1,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
83,45558,7,243.35999999999999,49,1,110,28048.453125000004,0.0,-3.109999999999985,5.0,8.0,4033.6315326530603
89,45669,1,22.5625,55,1,159,45818.241388888884,0.0,0.7986111111111178,-1.0,-3.0,-23314.871666666662
89,45669,2,23.361111111111118,54,1,156,22503.36972222222,0.0,0.0,5.0,-6.0,46284.53369444444
89,45669,3,23.361111111111118,59,1,150,68787.90341666667,0.0,0.0,-3.0,-9.0,-57609.4861
89,45669,4,23.361111111111118,56,1,141,11178.417316666668,0.0,1.3066666666666613,-2.0,-7.0,13914.625304875282
89,45669,5,24.66777777777778,54,1,134,25093.04262154195,0.0,-0.9833333333333378,-3.0,-18.0,1911.2550532879832
89,45669,6,23.68444444444444,51,1,116,27004.297674829933,0.0,0.3255555555555638,-2.0,-6.0,1044.1554501700703
89,45669,7,24.010000000000005,49,1,110,28048.453125000004,0.0,1.999999999999993,5.0,8.0,4033.6315326530603
1145,45551,1,64.0,55,3,159,45818.241388888884,0.0,11.689999999999984,-1.0,-3.0,-23314.871666666662
1145,45567,1,66.69444444444446,55,3,159,45818.241388888884,0.0,19.795555555555552,-1.0,-3.0,-23314.871666666662
1145,45567,2,86.49000000000001,54,3,156,22503.36972222222,-1.0,6.150624999999991,5.0,-6.0,46284.53369444444
1145,45567,3,92.640625,59,2,150,68787.90341666667,0.0,-9.46622499999998,-3.0,-9.0,-57609.4861
