species,census,n,m,S_t,N_t,E_t,dn,dm,dS,dN,dE
Blue jay,1986,0.2,18.78007091259191,20.0,92.0,541.1675599992918,0.0,0.0,-2.0,-6.0,-52.000148766845086
Blue jay,1987,0.2,18.78007091259191,18.0,86.0,489.16741123244674,0.3,0.0,6.0,28.0,149.5887045652214
Blue jay,1988,0.5,18.78007091259191,24.0,114.0,638.7561157976681,-0.3,0.0,-3.0,-12.0,-51.561296284493665
Blue jay,1989,0.2,18.78007091259191,21.0,102.0,587.1948195131745,0.0,0.0,5.0,32.0,169.76647504189418
Blue jay,1990,0.2,18.78007091259191,26.0,134.0,756.9612945550687,0.0,0.0,-1.0,-13.0,-94.83080373801465
Blue jay,1991,0.2,18.78007091259191,25.0,121.0,662.130490817054,0.0,0.0,0.0,9.0,98.21206532250051
Blue jay,1992,0.2,18.78007091259191,25.0,130.0,760.3425561395545,0.0,0.0,-4.0,-35.0,-245.2662580152604
Blue jay,1993,0.2,18.78007091259191,21.0,95.0,515.0762981242941,0.0,0.0,0.0,-10.0,-16.42080807526878
Blue jay,1994,0.2,18.78007091259191,21.0,85.0,498.65549004902533,0.0,0.0,-2.0,-11.0,54.74896776042334
Blue jay,1995,0.2,18.78007091259191,19.0,74.0,553.4044578094487,0.8,0.0,2.0,19.0,48.729717722541864
Blue jay,1996,1.0,18.78007091259191,21.0,93.0,602.1341755319905,-0.8,0.0,-2.0,-6.0,-81.22435643851725
Blue jay,1997,0.2,18.78007091259191,19.0,87.0,520.9098190934733,0.0,0.0,-1.0,-14.0,-129.70067374599694
Blue jay,1998,0.2,18.78007091259191,18.0,73.0,391.20914534747635,-0.2,0.0,-2.0,12.0,85.06387382409855
Blue jay,1999,0.0,18.78007091259191,16.0,85.0,476.2730191715749,0.0,0.0,2.0,5.0,3.440010963380473
Blue jay,2000,0.0,18.78007091259191,18.0,90.0,479.7130301349554,0.0,0.0,3.0,3.0,44.599534938248894
Blue jay,2001,0.0,18.78007091259191,21.0,93.0,524.3125650732043,0.0,0.0,-1.0,-21.0,-137.68102418134663
Blue jay,2002,0.0,18.78007091259191,20.0,72.0,386.63154089185764,0.2,0.0,-1.0,18.0,156.1055548649574
Blue jay,2003,0.2,18.78007091259191,19.0,90.0,542.737095756815,0.0,0.0,3.0,-12.0,-43.556870489634775
Blue jay,2004,0.2,18.78007091259191,22.0,78.0,499.1802252671803,0.8,0.0,-3.0,18.0,114.20527531547168
Blue jay,2005,1.0,18.78007091259191,19.0,96.0,613.385500582652,-0.8,0.0,4.0,13.0,82.12066491397024
Blue jay,2006,0.2,18.78007091259191,23.0,109.0,695.5061654966222,0.8,0.0,1.0,-8.0,-6.858380652262554
Blue jay,2007,1.0,18.78007091259191,24.0,101.0,688.6477848443596,-0.8,0.0,-2.0,-8.0,-91.34507924893
Blue jay,2008,0.2,18.78007091259191,22.0,93.0,597.3027055954296,0.0,0.0,-3.0,14.0,57.366118190624775
Blue jay,2009,0.2,18.78007091259191,19.0,107.0,654.6688237860544,0.0,0.0,4.0,2.0,27.50681673157078
Blue jay,2010,0.2,18.78007091259191,23.0,109.0,682.1756405176252,0.3,0.0,0.0,-12.0,-68.83183687628036
Blue jay,2011,0.5,18.78007091259191,23.0,97.0,613.3438036413448,-0.3,0.0,-2.0,9.0,65.51972751767255
Blue jay,2012,0.2,18.78007091259191,21.0,106.0,678.8635311590174,0.8,0.0,1.0,15.0,49.829950069092774
Blue jay,2013,1.0,18.78007091259191,22.0,121.0,728.6934812281102,-0.8,0.0,2.0,-7.0,-32.61267620037563
Blue jay,2014,0.2,18.78007091259191,24.0,114.0,696.0808050277345,1.8,0.0,0.0,1.0,130.57125964865213
Dryocopus pileatus,1986,0.2,41.71262450749502,20.0,92.0,541.1675599992918,-0.2,0.0,-2.0,-6.0,-52.000148766845086
Dryocopus pileatus,1987,0.0,41.71262450749502,18.0,86.0,489.16741123244674,0.0,0.0,6.0,28.0,149.5887045652214
Dryocopus pileatus,1988,0.0,41.71262450749502,24.0,114.0,638.7561157976681,0.2,0.0,-3.0,-12.0,-51.561296284493665
Dryocopus pileatus,1989,0.2,41.71262450749502,21.0,102.0,587.1948195131745,0.0,0.0,5.0,32.0,169.76647504189418
Dryocopus pileatus,1990,0.2,41.71262450749502,26.0,134.0,756.9612945550687,-0.2,0.0,-1.0,-13.0,-94.83080373801465
Dryocopus pileatus,1991,0.0,41.71262450749502,25.0,121.0,662.130490817054,0.2,0.0,0.0,9.0,98.21206532250051
Dryocopus pileatus,1992,0.2,41.71262450749502,25.0,130.0,760.3425561395545,-0.2,0.0,-4.0,-35.0,-245.2662580152604
Dryocopus pileatus,1993,0.0,41.71262450749502,21.0,95.0,515.0762981242941,0.0,0.0,0.0,-10.0,-16.42080807526878
Dryocopus pileatus,1994,0.0,41.71262450749502,21.0,85.0,498.65549004902533,0.0,0.0,-2.0,-11.0,54.74896776042334
Dryocopus pileatus,1995,0.0,41.71262450749502,19.0,74.0,553.4044578094487,0.0,0.0,2.0,19.0,48.729717722541864
Dryocopus pileatus,1996,0.0,41.71262450749502,21.0,93.0,602.1341755319905,0.0,0.0,-2.0,-6.0,-81.22435643851725
Dryocopus pileatus,1997,0.0,41.71262450749502,19.0,87.0,520.9098190934733,0.2,0.0,-1.0,-14.0,-129.70067374599694
Dryocopus pileatus,1998,0.2,41.71262450749502,18.0,73.0,391.20914534747635,-0.2,0.0,-2.0,12.0,85.06387382409855
Dryocopus pileatus,1999,0.0,41.71262450749502,16.0,85.0,476.2730191715749,0.0,0.0,2.0,5.0,3.440010963380473
Dryocopus pileatus,2000,0.0,41.71262450749502,18.0,90.0,479.7130301349554,0.2,0.0,3.0,3.0,44.599534938248894
Dryocopus pileatus,2001,0.2,41.71262450749502,21.0,93.0,524.3125650732043,0.0,0.0,-1.0,-21.0,-137.68102418134663
Dryocopus pileatus,2002,0.2,41.71262450749502,20.0,72.0,386.63154089185764,-0.2,0.0,-1.0,18.0,156.1055548649574
Dryocopus pileatus,2003,0.0,41.71262450749502,19.0,90.0,542.737095756815,0.2,0.0,3.0,-12.0,-43.556870489634775
Dryocopus pileatus,2004,0.2,41.71262450749502,22.0,78.0,499.1802252671803,-0.2,0.0,-3.0,18.0,114.20527531547168
Dryocopus pileatus,2005,0.0,41.71262450749502,19.0,96.0,613.385500582652,0.2,0.0,4.0,13.0,82.12066491397024
Dryocopus pileatus,2006,0.2,41.71262450749502,23.0,109.0,695.5061654966222,0.0,0.0,1.0,-8.0,-6.858380652262554
Dryocopus pileatus,2007,0.2,41.71262450749502,24.0,101.0,688.6477848443596,0.0,0.0,-2.0,-8.0,-91.34507924893
Dryocopus pileatus,2008,0.2,41.71262450749502,22.0,93.0,597.3027055954296,0.0,0.0,-3.0,14.0,57.366118190624775
Dryocopus pileatus,2009,0.2,41.71262450749502,19.0,107.0,654.6688237860544,0.0,0.0,4.0,2.0,27.50681673157078
Dryocopus pileatus,2010,0.2,41.71262450749502,23.0,109.0,682.1756405176252,0.0,0.0,0.0,-12.0,-68.83183687628036
Dryocopus pileatus,2011,0.2,41.71262450749502,23.0,97.0,613.3438036413448,0.0,0.0,-2.0,9.0,65.51972751767255
Dryocopus pileatus,2012,0.2,41.71262450749502,21.0,106.0,678.8635311590174,0.0,0.0,1.0,15.0,49.829950069092774
Dryocopus pileatus,2013,0.2,41.71262450749502,22.0,121.0,728.6934812281102,0.0,0.0,2.0,-7.0,-32.61267620037563
Dryocopus pileatus,2014,0.2,41.71262450749502,24.0,114.0,696.0808050277345,0.0,0.0,0.0,1.0,130.57125964865213
Contopus virens,1986,0.2,4.939965572698126,20.0,92.0,541.1675599992918,-0.2,0.0,-2.0,-6.0,-52.000148766845086
Contopus virens,1987,0.0,4.939965572698126,18.0,86.0,489.16741123244674,0.2,0.0,6.0,28.0,149.5887045652214
Contopus virens,1988,0.2,4.939965572698126,24.0,114.0,638.7561157976681,-0.2,0.0,-3.0,-12.0,-51.561296284493665
Contopus virens,1989,0.0,4.939965572698126,21.0,102.0,587.1948195131745,0.2,0.0,5.0,32.0,169.76647504189418
Contopus virens,1990,0.2,4.939965572698126,26.0,134.0,756.9612945550687,0.8,0.0,-1.0,-13.0,-94.83080373801465
Contopus virens,1991,1.0,4.939965572698126,25.0,121.0,662.130490817054,0.0,0.0,0.0,9.0,98.21206532250051
Contopus virens,1992,1.0,4.939965572698126,25.0,130.0,760.3425561395545,0.0,0.0,-4.0,-35.0,-245.2662580152604
Contopus virens,1993,1.0,4.939965572698126,21.0,95.0,515.0762981242941,0.0,0.0,0.0,-10.0,-16.42080807526878
Contopus virens,1994,1.0,4.939965572698126,21.0,85.0,498.65549004902533,-0.8,0.0,-2.0,-11.0,54.74896776042334
Contopus virens,1995,0.2,4.939965572698126,19.0,74.0,553.4044578094487,-0.2,0.0,2.0,19.0,48.729717722541864
Contopus virens,1996,0.0,4.939965572698126,21.0,93.0,602.1341755319905,0.0,0.0,-2.0,-6.0,-81.22435643851725
