,ABUNDANCE,GENUS_SPECIES,PLOT,YEAR
4,1,Zoarces viviparus,1,1995
6,2,Zoarces viviparus,1,1998
7,2,Zoarces viviparus,1,2001
16,3,Ctenolabrus rupestris,1,1995
17,3,Ctenolabrus rupestris,1,1996
18,3,Ctenolabrus rupestris,1,1997
19,3,Ctenolabrus rupestris,1,1998
20,3,Ctenolabrus rupestris,1,2001
21,3,Ctenolabrus rupestris,1,2002
22,3,Ctenolabrus rupestris,1,2003
23,3,Ctenolabrus rupestris,1,2004
24,3,Ctenolabrus rupestris,1,2005
25,3,Ctenolabrus rupestris,1,2006
26,3,Ctenolabrus rupestris,1,2007
37,1,Labrus bergylta,1,2004
40,2,Labrus bergylta,1,1995
41,2,Labrus bergylta,1,2006
44,5,Labrus bergylta,1,2003
45,1,Cyanea capillata,1,1999
46,1,Cyanea capillata,1,2006
47,1,Cyanea capillata,1,2008
52,3,Cyanea capillata,1,1995
53,3,Cyanea capillata,1,1998
54,4,Cyanea capillata,1,1997
55,1,Sprattus sprattus,1,2008
56,2,Sprattus sprattus,1,2004
58,4,Sprattus sprattus,1,1997
59,5,Sprattus sprattus,1,1999
62,3,Centrolabrus exoletus,1,2008
63,4,Centrolabrus exoletus,1,2007
64,5,Centrolabrus exoletus,1,1996
68,1,Symphodus melops,1,1997
70,2,Symphodus melops,1,1996
71,2,Symphodus melops,1,1999
73,3,Symphodus melops,1,2000
74,3,Symphodus melops,1,2004
75,3,Symphodus melops,1,2007
81,4,Symphodus melops,1,2005
82,4,Symphodus melops,1,2006
83,4,Symphodus melops,1,2008
86,5,Symphodus melops,1,2003
87,1,Entelurus aequoreus,1,2004
88,1,Merlangius merlangus,1,2000
89,1,Merlangius merlangus,1,2004
90,1,Merlangius merlangus,1,2007
92,2,Merlangius merlangus,1,1997
93,2,Merlangius merlangus,1,2005
97,3,Merlangius merlangus,1,1998
99,4,Merlangius merlangus,1,1995
102,7,Merlangius merlangus,1,1996
105,17,Merlangius merlangus,1,2003
107,29,Merlangius merlangus,1,2001
110,2,Crystallogobius linearis,1,2000
114,1,Pollachius pollachius,1,2001
115,2,Pollachius pollachius,1,1998
120,2,Manetyngel unknown,1,2007
125,2,Labrus bimaculatus,1,2003
133,3,Pomatoschistus minutus,1,1995
134,3,Pomatoschistus minutus,1,1996
135,3,Pomatoschistus minutus,1,1997
136,3,Pomatoschistus minutus,1,1998
137,3,Pomatoschistus minutus,1,2000
138,3,Pomatoschistus minutus,1,2001
139,3,Pomatoschistus minutus,1,2002
140,3,Pomatoschistus minutus,1,2003
141,3,Pomatoschistus minutus,1,2004
142,3,Pomatoschistus minutus,1,2005
143,3,Pomatoschistus minutus,1,2006
144,3,Pomatoschistus minutus,1,2007
145,3,Pomatoschistus minutus,1,2008
155,1,Pollachius virens,1,1997
156,1,Pollachius virens,1,2007
158,2,Pollachius virens,1,2000
163,2,Clupea harengus,1,2008
164,4,Clupea harengus,1,1997
166,1,Salmo trutta,1,1997
167,1,Salmo trutta,1,2001
168,1,Salmo trutta,1,2002
169,1,Salmo trutta,1,2005
170,1,Salmo trutta,1,2006
172,2,Salmo trutta,1,2004
177,3,Asteroidea,1,2002
179,5,Asteroidea,1,2000
180,3,Platichthys flesus,1,2000
184,2,Carcinus maenas,1,2006
186,3,Carcinus maenas,1,1995
187,3,Carcinus maenas,1,1996
188,3,Carcinus maenas,1,2002
189,1,Palaemon adspersus,1,2001
191,2,Palaemon adspersus,1,1995
192,2,Palaemon adspersus,1,2002
193,2,Palaemon adspersus,1,2005
194,2,Palaemon adspersus,1,2006
198,3,Palaemon adspersus,1,2000
199,4,Palaemon adspersus,1,2003
207,1,Trachurus trachurus,1,1995
209,2,Trachurus trachurus,1,2003
210,3,Trachurus trachurus,1,2008
212,5,Trachurus trachurus,1,1997
214,2,Gobiusculus flavescens,1,1995
215,2,Gobiusculus flavescens,1,2002
216,2,Gobiusculus flavescens,1,2004
217,2,Gobiusculus flavescens,1,2005
218,2,Gobiusculus flavescens,1,2008
225,3,Gobiusculus flavescens,1,1998
229,4,Gobiusculus flavescens,1,2003
232,1,Sygnathus typhle,1,1996
233,1,Sygnathus typhle,1,2007
237,1,Pholis gunnellus,1,2006
239,1,Spinachia spinachia,1,1999
240,1,Spinachia spinachia,1,2001
241,1,Spinachia spinachia,1,2007
242,1,Spinachia spinachia,1,2008
248,2,Spinachia spinachia,1,1995
249,2,Spinachia spinachia,1,2003
254,4,Spinachia spinachia,1,2000
256,1,Gadus morhua,1,2004
259,4,Gadus morhua,1,2001
260,4,Gadus morhua,1,2003
261,4,Gadus morhua,1,2007
262,6,Gadus morhua,1,1996
264,8,Gadus morhua,1,1995
270,50,Gadus morhua,1,1998
276,1,Scorpaenidae,1,1995
277,1,Scorpaenidae,1,2006
278,1,Scorpaenidae,1,2008
283,3,Scorpaenidae,1,1997
284,3,Scorpaenidae,1,2001
997,1,Zoarces viviparus,3,1996
1041,3,Ctenolabrus rupestris,3,1996
1042,3,Ctenolabrus rupestris,3,1997
1043,3,Ctenolabrus rupestris,3,2005
1058,1,Labrus bergylta,3,2003
1066,1,Cyanea capillata,3,1997
1067,1,Cyanea capillata,3,1999
1068,1,Cyanea capillata,3,2000
1079,3,Cyanea capillata,3,1998
1080,3,Cyanea capillata,3,2006
1097,13,Cyanea capillata,3,1995
1110,45,Cyanea capillata,3,2008
1115,5,Sprattus sprattus,3,1999
1147,1,Symphodus melops,3,1995
1148,1,Symphodus melops,3,1999
1149,1,Symphodus melops,3,2006
1150,1,Symphodus melops,3,2007
1153,2,Symphodus melops,3,2000
1154,2,Symphodus melops,3,2003
1155,2,Symphodus melops,3,2004
1176,1,Merlangius merlangus,3,1999
1177,1,Merlangius merlangus,3,2000
1178,1,Merlangius merlangus,3,2004
1179,1,Merlangius merlangus,3,2006
1186,2,Merlangius merlangus,3,1997
1189,3,Merlangius merlangus,3,2001
1194,4,Merlangius merlangus,3,2003
1199,7,Merlangius merlangus,3,2008
1253,1,Eutrigla gurnardus,3,1996
1254,1,Eutrigla gurnardus,3,1998
1255,1,Eutrigla gurnardus,3,1999
1256,1,Eutrigla gurnardus,3,2000
1257,1,Eutrigla gurnardus,3,2004
1261,2,Eutrigla gurnardus,3,1997
1262,2,Eutrigla gurnardus,3,2002
1266,3,Eutrigla gurnardus,3,1995
1268,4,Eutrigla gurnardus,3,2001
1272,1,Echinoidea,3,1996
1274,2,Crystallogobius linearis,3,2005
1275,2,Crystallogobius linearis,3,2006
1276,2,Crystallogobius linearis,3,2008
1335,1,Scomber scombrus,3,2006
1336,3,Scomber scombrus,3,1999
1338,2,Manetyngel unknown,3,2002
1341,3,Manetyngel unknown,3,2007
1343,1,Psetta maxima,3,1997
1350,1,Pleuronectes platessa,3,2000
1351,1,Pleuronectes platessa,3,2003
1387,3,Pomatoschistus minutus,3,1995
1388,3,Pomatoschistus minutus,3,1996
1389,3,Pomatoschistus minutus,3,1997
1390,3,Pomatoschistus minutus,3,1999
1391,3,Pomatoschistus minutus,3,2000
1392,3,Pomatoschistus minutus,3,2001
1393,3,Pomatoschistus minutus,3,2002
1394,3,Pomatoschistus minutus,3,2003
1395,3,Pomatoschistus minutus,3,2004
1396,3,Pomatoschistus minutus,3,2005
1397,3,Pomatoschistus minutus,3,2006
1398,3,Pomatoschistus minutus,3,2007
1399,3,Pomatoschistus minutus,3,2008
1415,9,Pollachius virens,3,1996
1416,1,Clupea harengus,3,2002
1419,3,Clupea harengus,3,1999
1434,1,Salmo trutta,3,2004
1435,1,Salmo trutta,3,2008
1438,2,Salmo trutta,3,1995
1439,2,Salmo trutta,3,1999
1443,3,Spatangoida,3,2000
1444,2,Polioptila caerulea,3,2000
1463,1,Platichthys flesus,3,1997
1464,1,Platichthys flesus,3,2001
1465,1,Platichthys flesus,3,2002
1466,1,Platichthys flesus,3,2006
1468,2,Platichthys flesus,3,1996
1484,3,Platichthys flesus,3,1998
1485,3,Platichthys flesus,3,2004
1486,3,Platichthys flesus,3,2008
1507,1,Carcinus maenas,3,2004
1508,2,Carcinus maenas,3,2003
1520,2,Palaemon adspersus,3,1995
1521,2,Palaemon adspersus,3,1998
1522,2,Palaemon adspersus,3,1999
1523,2,Palaemon adspersus,3,2000
1524,2,Palaemon adspersus,3,2001
1525,2,Palaemon adspersus,3,2003
1526,2,Palaemon adspersus,3,2005
1527,2,Palaemon adspersus,3,2006
1545,3,Palaemon adspersus,3,2002
1549,4,Palaemon adspersus,3,1996
1550,1,Littorina littorea,3,2002
1582,2,Trachurus trachurus,3,2003
1583,2,Trachurus trachurus,3,2004
1584,1,Gobiusculus flavescens,3,1998
1585,1,Gobiusculus flavescens,3,2002
1593,2,Gobiusculus flavescens,3,2008
1607,3,Gobiusculus flavescens,3,2005
1620,1,Sygnathus typhle,3,1995
1660,1,Spinachia spinachia,3,2000
1661,1,Spinachia spinachia,3,2001
1662,1,Spinachia spinachia,3,2002
1665,2,Spinachia spinachia,3,1999
1691,1,Gadus morhua,3,1998
1692,1,Gadus morhua,3,2003
1744,1,Scorpaenidae,3,2004
1755,3,Ctenolabrus rupestris,4,1996
1756,3,Ctenolabrus rupestris,4,1997
1757,3,Ctenolabrus rupestris,4,2001
1758,3,Ctenolabrus rupestris,4,2002
1759,3,Ctenolabrus rupestris,4,2003
